time point	time	AKAR4pOUT
E0302T001	-15	1.008(11)E2
E0302T002	-10	1.0219(66)E2
E0302T003	-5	1.005(13)E2
E0302T004	0	NA
E0302T005	5	1.0111(28)E2
E0302T006	10	1.0315(92)E2
E0302T007	15	1.0275(48)E2
E0302T008	20	1.0265(83)E2
E0302T009	25	1.0506(58)E2
E0302T010	30	1.0608(88)E2
E0302T011	35	1.0954(33)E2
E0302T012	40	1.1043(16)E2
E0302T013	45	1.140(11)E2
E0302T014	50	1.1722(69)E2
E0302T015	55	1.174(13)E2
E0302T016	60	1.209(12)E2
E0302T017	65	1.23(2)E2
E0302T018	70	1.25679(81)E2
E0302T019	75	1.283(22)E2
E0302T020	80	1.289(11)E2
E0302T021	85	1.324(17)E2
E0302T022	90	1.329(21)E2
E0302T023	95	1.355(12)E2
E0302T024	100	1.3722(96)E2
E0302T025	105	1.375(24)E2
E0302T026	110	1.39(2)E2
E0302T027	115	1.45(2)E2
E0302T028	120	1.436(29)E2
E0302T029	125	1.466(14)E2
E0302T030	130	1.473(23)E2
E0302T031	135	1.48(3)E2
E0302T032	140	1.504(12)E2
E0302T033	145	1.508(16)E2
E0302T034	150	1.5284(37)E2
E0302T035	155	1.5624(86)E2
E0302T036	160	1.562(25)E2
E0302T037	165	1.552(12)E2
E0302T038	170	1.590(24)E2
E0302T039	175	1.614(17)E2
E0302T040	180	1.631(23)E2
E0302T041	185	1.615(23)E2
E0302T042	190	1.621(15)E2
E0302T043	195	1.62(2)E2
E0302T044	200	1.636(37)E2
E0302T045	205	1.5957(85)E2
E0302T046	210	1.62(1)E2
E0302T047	215	1.6657(61)E2
E0302T048	220	1.625(14)E2
E0302T049	225	1.63(1)E2
E0302T050	230	1.636(13)E2
E0302T051	235	1.671(34)E2
E0302T052	240	1.647(21)E2
E0302T053	245	1.6824(95)E2
E0302T054	250	1.684(11)E2
E0302T055	255	1.66(1)E2
E0302T056	260	1.6725(62)E2
E0302T057	265	1.701(21)E2
E0302T058	270	1.677(15)E2
E0302T059	275	1.671(16)E2
E0302T060	280	1.693(22)E2
E0302T061	285	1.7049(73)E2
E0302T062	290	1.6954(26)E2
E0302T063	295	1.718(21)E2
E0302T064	300	1.700(15)E2
E0302T065	305	1.698(18)E2
E0302T066	310	1.685(15)E2
E0302T067	315	1.69(1)E2
E0302T068	320	1.694(14)E2
E0302T069	325	1.6963(64)E2
E0302T070	330	1.689(14)E2
E0302T071	335	1.7136(91)E2
E0302T072	340	1.718(14)E2
E0302T073	345	1.729(11)E2
E0302T074	350	1.718(15)E2
E0302T075	355	1.701(11)E2
E0302T076	360	1.717(11)E2
E0302T077	365	1.707(11)E2
E0302T078	370	1.7272(38)E2
E0302T079	375	1.731(14)E2
E0302T080	380	1.730(16)E2
E0302T081	385	1.741(14)E2
E0302T082	390	1.715(27)E2
E0302T083	395	1.7309(67)E2
E0302T084	400	1.739(26)E2
E0302T085	405	1.717(21)E2
E0302T086	410	1.735(15)E2
E0302T087	415	1.73(3)E2
E0302T088	420	1.727(13)E2
E0302T089	425	1.726(14)E2
E0302T090	430	1.7383(72)E2
E0302T091	435	1.7278(63)E2
E0302T092	440	1.734(28)E2
E0302T093	445	1.6843(69)E2
E0302T094	450	1.741(25)E2
E0302T095	455	1.6954(41)E2
E0302T096	460	1.711(24)E2
E0302T097	465	1.729(11)E2
E0302T098	470	1.74(2)E2
E0302T099	475	1.760(25)E2
E0302T100	480	1.753(34)E2
E0302T101	485	1.7398(48)E2
E0302T102	490	1.7404(37)E2
E0302T103	495	1.731(13)E2
E0302T104	500	1.739(23)E2
E0302T105	505	1.726(24)E2
E0302T106	510	1.719(21)E2
E0302T107	515	1.72(1)E2
E0302T108	520	1.7330(37)E2
E0302T109	525	1.7188(99)E2
E0302T110	530	1.7414(94)E2
E0302T111	535	1.7361(32)E2
E0302T112	540	1.731(25)E2
E0302T113	545	1.742(16)E2
E0302T114	550	1.73(1)E2
E0302T115	555	1.7478(33)E2
E0302T116	560	1.715(13)E2
E0302T117	565	1.740(27)E2
E0302T118	570	1.717(16)E2
E0302T119	575	1.7228(69)E2
E0302T120	580	1.7410(17)E2
E0302T121	585	1.762(21)E2
E0302T122	590	1.7340(68)E2
E0302T123	595	1.7219(71)E2
E0302T124	600	1.7389(83)E2
E0302T125	605	1.740(18)E2
