!!SBtab Document='AKAP79' Version='1.0' TableName='X2000nM_cAMPCaN_only_2_uM_cAMP' TableType='QuantityMatrix'			
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0302T001	-15	100.772	1.1128244677358
E0302T002	-10	102.191	0.668407649003325
E0302T003	-5	100.525	1.37994375963631
E0302T004	0	NA	NA
E0302T005	5	101.111	0.28287504289851
E0302T006	10	103.148	0.927467851933132
E0302T007	15	102.747	0.485068939675978
E0302T008	20	102.654	0.832189429797083
E0302T009	25	105.062	0.588851358899349
E0302T010	30	106.08	0.882197896787435
E0302T011	35	109.537	0.333847340320741
E0302T012	40	110.432	0.163317982164479
E0302T013	45	114.043	1.17648879953987
E0302T014	50	117.222	0.694958657357881
E0302T015	55	117.438	1.30654385731585
E0302T016	60	120.895	1.24264334192576
E0302T017	65	122.623	2.06097975614772
E0302T018	70	125.679	0.0816589910822441
E0302T019	75	128.272	2.21341705484531
E0302T020	80	128.858	1.14197530864197
E0302T021	85	132.438	1.77489263485554
E0302T022	90	132.87	2.16225677631321
E0302T023	95	135.463	1.28633740643054
E0302T024	100	137.222	0.962250448649375
E0302T025	105	137.531	2.48241030464171
E0302T026	110	139.074	2.0621349491963
E0302T027	115	144.722	2.08693104992309
E0302T028	120	143.611	2.98649987898982
E0302T029	125	146.574	1.41740277817346
E0302T030	130	147.253	2.3933190172447
E0302T031	135	147.809	3.02705249238391
E0302T032	140	150.432	1.25294957593731
E0302T033	145	150.833	1.63113706934862
E0302T034	150	152.84	0.375479168536929
E0302T035	155	156.235	0.86584939130281
E0302T036	160	156.173	2.57563531420062
E0302T037	165	155.185	1.22488486623361
E0302T038	170	158.981	2.43631739158838
E0302T039	175	161.389	1.77220706419205
E0302T040	180	163.117	2.35115507646094
E0302T041	185	161.451	2.33040020753243
E0302T042	190	162.13	1.58312575348545
E0302T043	195	161.883	2.03235526335238
E0302T044	200	163.58	3.75935555026793
E0302T045	205	159.568	0.852544896106981
E0302T046	210	162.315	1.01570880690767
E0302T047	215	166.574	0.616511862822171
E0302T048	220	162.531	1.40660850186492
E0302T049	225	162.932	1.01195038955278
E0302T050	230	163.642	1.31417708987925
E0302T051	235	167.099	3.41311139146128
E0302T052	240	164.66	2.15850878825998
E0302T053	245	168.241	0.950296562860529
E0302T054	250	168.426	1.14280917170208
E0302T055	255	166.358	1.04255220704041
E0302T056	260	167.253	0.624189765930765
E0302T057	265	170.123	2.14922103192021
E0302T058	270	167.685	1.5530550154826
E0302T059	275	167.099	1.69753086419753
E0302T060	280	169.321	2.26447317142285
E0302T061	285	170.494	0.737518712675833
E0302T062	290	169.537	0.267291791291493
E0302T063	295	171.759	2.18002634400127
E0302T064	300	169.969	1.51234567901234
E0302T065	305	169.753	1.87739584268464
E0302T066	310	168.457	1.55795425483012
E0302T067	315	169.228	1.03705540842046
E0302T068	320	169.383	1.49715220193023
E0302T069	325	169.63	0.648148148148146
E0302T070	330	168.858	1.47406838719254
E0302T071	335	171.358	0.910886084158872
E0302T072	340	171.79	1.44370562512672
E0302T073	345	172.932	1.11153969786229
E0302T074	350	171.759	1.53361212948208
E0302T075	355	170.123	1.12686026318078
E0302T076	360	171.728	1.19217332813753
E0302T077	365	170.71	1.1777027177987
E0302T078	370	172.716	0.386727286609315
E0302T079	375	173.117	1.44469502944055
E0302T080	380	172.994	1.66866592480411
E0302T081	385	174.074	1.46499312176615
E0302T082	390	171.543	2.79946948835802
E0302T083	395	173.086	0.67690469751424
E0302T084	400	173.858	2.68376576646029
E0302T085	405	171.728	2.13588275022172
E0302T086	410	173.457	1.58071704040764
E0302T087	415	173.148	3.06955267671311
E0302T088	420	172.747	1.39436506149093
E0302T089	425	172.593	1.44733013428313
E0302T090	430	173.827	0.721852812563361
E0302T091	435	172.778	0.630264748662407
E0302T092	440	173.364	2.80915067974883
E0302T093	445	168.426	0.694958657357878
E0302T094	450	174.136	2.53594040761068
E0302T095	455	169.537	0.417523125261382
E0302T096	460	171.08	2.47607050865822
E0302T097	465	172.87	1.16018185982793
E0302T098	470	174.105	2.0047478319821
E0302T099	475	176.019	2.53744251963791
E0302T100	480	175.34	3.4218917411198
E0302T101	485	173.981	0.489953946493446
E0302T102	490	174.043	0.379265608871746
E0302T103	495	173.086	1.30325878584675
E0302T104	500	173.858	2.30636317188511
E0302T105	505	172.562	2.46218156483693
E0302T106	510	171.883	2.10624122448429
E0302T107	515	172.222	1.04072316667205
E0302T108	520	173.302	0.375479168536929
E0302T109	525	171.883	0.99198510370298
E0302T110	530	174.136	0.941737426073602
E0302T111	535	173.611	0.325174498544837
E0302T112	540	173.148	2.59754817390843
E0302T113	545	174.167	1.60642144193495
E0302T114	550	173.395	1.07627134408412
E0302T115	555	174.784	0.339506172839504
E0302T116	560	171.481	1.30069799417935
E0302T117	565	174.012	2.75211049524208
E0302T118	570	171.698	1.62264684297468
E0302T119	575	172.284	0.695643683307693
E0302T120	580	174.105	0.171844579099691
E0302T121	585	176.235	2.13922511742759
E0302T122	590	173.395	0.681113471935611
E0302T123	595	172.191	0.717882922815617
E0302T124	600	173.889	0.835046250522754
E0302T125	605	174.012	1.82881765025007
