!!SBtab	Document='CaMKIIs' TableName='EventScheduleShifman2006Fig1Bsq'		
!TimePoint	!Time	!Transformation	!Dose
ShTPinit	-400	Activation	0
ShTP01	0	CaSeq	364
ShTP02	10	CaSeq	2305
ShTP03	20	CaSeq	2548
ShTP04	30	CaSeq	2912
ShTP05	40	CaSeq	3640
ShTP06	50	CaSeq	4126
ShTP07	60	CaSeq	3762
ShTP08	70	CaSeq	4611
ShTP09	80	CaSeq	4247
ShTP10	90	CaSeq	5461
ShTP11	100	CaSeq	4611
ShTP12	110	CaSeq	6067
ShTP13	120	CaSeq	5339
ShTP14	130	CaSeq	6796
ShTP15	140	CaSeq	6067
ShTP16	150	CaSeq	7281
ShTP17	160	CaSeq	8495
ShTP18	170	CaSeq	9344
ShTP19	180	CaSeq	24393
ShTP20	190	CaSeq	34101
