!!SBtab	Document='CaMKIIs' TableName='EventScheduleStemmer1993Fig2Afc'		
!TimePoint	!Time	!Transformation	!Dose
StF2AfcTPinit	-400	Activation	0
StF2AfcTP001	0	CaSeq	457.088
StF2AfcTP002	10	CaSeq	831.763
StF2AfcTP003	20	CaSeq	1122.018
StF2AfcTP004	30	CaSeq	1513.561
StF2AfcTP005	40	CaSeq	1949.844
StF2AfcTP006	50	CaSeq	2398.832
StF2AfcTP007	60	CaSeq	2818.382
StF2AfcTP008	70	CaSeq	3467.368
StF2AfcTP009	80	CaSeq	4168.693
StF2AfcTP010	90	CaSeq	5128.613
StF2AfcTP011	100	CaSeq	5754.399
StF2AfcTP012	110	CaSeq	7585.775
StF2AfcTP013	120	CaSeq	8317.637
StF2AfcTP014	130	CaSeq	11481.536
StF2AfcTP015	140	CaSeq	14791.083
StF2AfcTP016	150	CaSeq	15135.612
StF2AfcTP017	160	CaSeq	26302.679
StF2AfcTP018	170	CaSeq	26915.348
StF2AfcTP019	180	CaSeq	39810.717
StF2AfcTP020	190	CaSeq	40738.027
StF2AfcTP021	200	CaSeq	53703.179
StF2AfcTP022	210	CaSeq	70794.578
StF2AfcTP023	220	CaSeq	93325.43
StF2AfcTP024	230	CaSeq	151356.124
StF2AfcTP025	240	CaSeq	194984.459
StF2AfcTP026	250	CaSeq	257039.578
StF2AfcTP027	260	CaSeq	346736.85
StF2AfcTP028	270	CaSeq	524807.46
StF2AfcTP029	280	CaSeq	676082.975
