!!SBtab	SBtabVersion='1.0' Document='CaMKIIs' TableType='QuantityMatrix' TableName='ODonnel2010Fig3Co' TableTitle='[Nair 2014 Figure 12.3B] CaN activation by Ca 30nM CaM' 		
!TimePoint	!Time	>CaMPerPP2B	~CaMPerPP2B
E2D0	10	0	0.0902
E2D1	20	0	0.0902
E2D2	30	0	0.0902
E2D3	40	0	0.0902
E2D4	50	0.027	0.0902
E2D5	60	0.038	0.0902
E2D6	70	0.085	0.0902
E2D7	80	0.12	0.0902
E2D8	90	0.158	0.0902
E2D9	100	0.225	0.0902
E2D10	110	0.304	0.0902
E2D11	120	0.365	0.0902
E2D12	130	0.473	0.0902
E2D13	140	0.543	0.0902
E2D14	150	0.669	0.0902
E2D15	160	0.724	0.0902
E2D16	170	0.8	0.0902
E2D17	180	0.823	0.0902
E2D18	190	0.885	0.0902
E2D19	200	0.902	0.0902
